input_csv,image_path,idx_in_cluster,description,objects,objects_not_found
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1177/cluster_items_objects_np.csv,Images/London/London_0001012_2020_11_318_51.49108497006655_-0.1775539923991656_DMlwi97GF-8BYFVFF4BaCw.jpg,2,"Bare trees, distant white residential buildings, single-story white stucco building with flat roof and black metal fence, multi-story corner building with light-colored brick upper facade and white quoins, white stucco lower facade, black wrought iron balconies, white columns, blue circular plaque, black street lamp, black metal fence for basement lightwell, red pillar post box, distant building with green scaffolding.",tree. building. fence. column. plaque. lamp. lightwell. box. scaffolding,plaque. lightwell. box
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1177/cluster_items_objects_np.csv,Images/London/London_0001012_2008_06_321_51.49109716825873_-0.1775577792949491_M_UW9GGstBzj-Z1Gv_kCkA.jpg,4,"Green trees, white single-story building with flat roof and cornice, black iron railings, asphalt road with white diagonal striped markings, white dashed lines, and yellow curb line, black street lamp post, black iron railings enclosing basement, white two-story corner building with classical columns, pediments, and black ornate balcony railings, blue plaque, red pillar box, black waste bin, row of white terraced buildings with classical architecture and black ornate balcony railings.",building. road. post. column. pediment. plaque. box. bin. row. architecture,plaque. box. row
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1177/cluster_items_objects_np.csv,Images/London/London_0001012_2017_03_331_51.49108539620223_-0.1775495747959544_na6UX9triIpoewz-34i0UA.jpg,5,"Paved street corner with curb, white stucco building with black iron railings on balconies, street lamp post, corner white stucco building with black iron railings, blue plaque, street sign on black fence, red cylindrical post box, black rectangular waste bin, row of white stucco terraced houses with black iron railings and balconies extending into the distance, asphalt road, paved sidewalks with curbs.",building. curb. fence. row. road. sidewalk,row
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1179/cluster_items_objects_np.csv,Images/London/London_0001094_2019_03_231_51.49113297901163_-0.1203569391874334_etsAzk6d9RqiHKWFZbBW8g.jpg,0,"Asphalt road on the left, concrete pavement, brick archway structure containing a red numerical sign ""18"", a small red door, a red roller shutter, and an arched red window frame above the shutter, a section of brick wall between archways with some discoloration, a small grey electrical box, a white rectangular plaque, a large red roller shutter on the right, within a brick archway structure.",road. structure. door. shutter. frame. section. wall. archway,structure. frame. section
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1179/cluster_items_objects_np.csv,Images/London/London_0001094_2015_05_241_51.4910861902958_-0.1204361898216044_04mfX5PAPJF4zH2c2OKolQ.jpg,1,"Faded red roll-up door, old brick wall, small light-colored fixture on old brick wall, large brick archway, large rough stone on ground, newer brick facade, red building number sign ""1118 Tyroff Road"", bright red pedestrian door with silver kick plate, yellow warning sign, red architectural element with arched window and horizontal slats, large red corrugated metal roller shutter door.",stone. ground. road. door. plate. sign. element. slat,plate. element
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1179/cluster_items_objects_np.csv,Images/London/London_0001094_2020_11_228_51.49111561478498_-0.120390443197366_DEPY0g4bozN4rqypzdTbYw.jpg,4,"Asphalt road, concrete path with autumn leaves, small plant against a brick wall, partial brick archway with a red door inside, red '118' sign, red pedestrian door, large red corrugated roller shutter door, black outdoor light fixture, red arched window frame above the door, dark reddish-brown brick facade, large light brown brick archway structure with dark piping along its curve, vertical seam in brickwork, dark reddish-brown brick wall, two small rectangular vents, white rectangular plaque, dark reddish-brown brick wall.",road. path. wall. archway. door. sign. fixture. frame. facade. structure. vent. plaque,path. frame. plaque
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_118/cluster_items_objects_np.csv,Images/London/London_0000126_2008_08_301_51.48626551357719_-0.0924087000805737_MhwehwLxtmCXYIKm0IvTfg.jpg,0,"A row of light brown brick terraced houses with a flat roofline, white sash windows on upper floors, and black wrought iron fences; from left to right: an arched ground floor window, a small green bushy tree, an arched blue ground floor door with a fanlight, an arched white ground floor door with a fanlight, two successive arched ground floor windows, an arched blue ground floor door with a fanlight, an arched green ground floor door with a fanlight, and multiple green refuse bins on the pavement.",row,row
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_118/cluster_items_objects_np.csv,Images/London/London_0000126_2016_08_305_51.48627042050879_-0.0923881521426947_M99vlpVzgCz1DE_Q6VTneg.jpg,3,"Brown brick terraced house with white sash windows and arched ground floor doorway with decorative fanlight and black wrought iron fence, followed by another brown brick house with white sash windows and an arched ground floor window with decorative grille, large dense green bush/tree, another brown brick house with white sash window and arched doorway with purple front door and black wrought iron fence, a row of additional brown brick terraced houses with white sash windows, arched ground floor windows/doorways and black wrought iron fences, all topped by a continuous light-colored parapet/roofline.",house. door. tree. brick. roofline,brick
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1181/cluster_items_objects_np.csv,Images/London/London_0001012_2008_07_143_51.49109863696979_-0.1776063847171671_p22Y-hIzHQRQtQ3gWmNN6Q.jpg,1,"Green trees, small white building, black iron fence, paved sidewalk, asphalt road with white striped markings and yellow curb, corner multi-story building with white ornate ground floor, brick upper floors, bay windows and black iron balconies, blue circular plaque, red cylindrical post box, tall black street lamp pole, row of terraced multi-story buildings with ornate white facades, brick upper floors, bay windows and balconies extending to the right.",building. fence. sidewalk. road. marking. curb. window. pole. facade. right,right
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1181/cluster_items_objects_np.csv,Images/London/London_0001012_2015_05_138_51.49108809149844_-0.177588541415917_IiscwFeSeqnyA3cKqLtu1g.jpg,2,"Black iron fence, gray paved sidewalk, gray asphalt road with white dashed lane markings and a white curved curb line, green trees and foliage, white stucco building with brick-textured side and black iron balconies, large white stucco corner building with black iron railings, blue circular historical plaque, black street lamp post, red cylindrical pillar post box, black public waste bin, row of white stucco terraced buildings with black iron balconies and columns.",fence. road. tree. building. railing. plaque. post. box. bin. row. column,plaque. box. row
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1181/cluster_items_objects_np.csv,Images/London/London_0001012_2018_02_135_51.49109920364001_-0.1776042179467022_3jPmAvIZMYl5hNmUHZlIRA.jpg,3,"Large bare trees, white residential buildings in the background, black wrought iron fence with white plinth, white rectangular street sign reading ""ONSLOW GARDENS SW7"", grey paved sidewalk, grey asphalt road with curved yellow-lined curb, white painted classical-style ground floor facade with large windows, black lamp post, blue circular commemorative plaque, light brick upper stories of a large building with white classical architectural details including quoins, cornices, and balconies with black wrought iron railings, red pillar postbox.",building. fence. sidewalk. road. facade. window. post. story. quoin. cornice. balcony. railing. postbox,story. quoin
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1184/cluster_items_objects_np.csv,Images/London/London_0001068_2008_07_130_51.49111908289013_-0.1384742977449897_LLLPzAEYj5EoaMd_8VJSBw.jpg,0,"Brick building facade with white rendered ground floor, first floor sash window with black wrought iron balcony, blue front door with transom window, ground floor sash window, black wrought iron basement railings and brick steps, prominent black lamp post with yellow 'H' signage, green front door with transom window on adjacent white rendered facade, ground floor sash window, black wrought iron basement railings and steps, green ivy growing on facade, continuous row of terraced brick houses with white rendered ground floors, sash windows, black wrought iron balconies, some ornate white first-floor window surrounds, multiple green front doors, patterned concrete sidewalk, grey curb, part of a grey road.",facade. floor. window. door. railing. step. post. row. house. balcony. sidewalk. curb. part. road,row. house. part
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1184/cluster_items_objects_np.csv,Images/London/London_0001068_2015_05_102_51.49109922129212_-0.1384340798464338_t5cw20v1MQmK97TuhlCOXg.jpg,1,"Row of terraced townhouses with brick upper floors and white ground floors, white-framed sash windows, and black ornate iron balconies; From left to right: large ground floor window, black metal railings, dark green front door, white balcony with black railing, sash window; large ground floor window, dark green front door, black metal railings, white balcony with black railing, sash window; prominent black streetlamp with yellow signs (bus stop icon, ""2"") in front of a blue front door with a transom window, black metal railings, white balcony with black railing, sash window; large ground floor window, dark green front door, black metal railings, white balcony with black railing, sash window; partially visible building with large ground floor window, black metal railings, white balcony with black railing.",townhouse. streetlamp. sign. bus,bus
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1184/cluster_items_objects_np.csv,Images/London/London_0001068_2019_03_106_51.49109864936977_-0.1384348672797567_IJFhKeZUJOSas_zxmtzZeg.jpg,4,"Black metal fence, ground floor white sash window, bright blue wooden door with transom window, ground floor white sash window, black lamppost with yellow rectangular sign and number '2' marking, ground floor white sash window, black wooden door with tiled steps and black railings, ground floor white sash window with flower box, black metal fence, light brown brick upper facades with white sash windows and decorative surrounds, black wrought iron balconies.",fence. door. lamppost. sign. railing. step. box. facade. surround. balcony,box. surround
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1186/cluster_items_objects_np.csv,Images/London/London_0001133_2008_07_011_51.49110515194595_-0.0930157195577607_tje3GsfhQVtuca_BPDZTfQ.jpg,2,"Multi-story light brown brick building with white window frames and a horizontal white band, ground floor with a dark awning and a red post box, asphalt road with double yellow lines, large dense green tree, tall dark industrial chimney, long low-rise light brown brick building complex with multiple white-framed grid-patterned windows and a dark tiled roof, black wrought-iron fence and ornate gates with brick pillars topped by traditional black lantern street lamps, prominent brick chimney on the right end of the building complex.",building. road. tree. chimney. window. roof. pillar. lamp,pillar
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_119/cluster_items_objects_np.csv,Images/London/London_0000126_2012_05_104_51.48626554167185_-0.0924021738167491_wvnreZxRycHIhH-6rnv3YQ.jpg,0,"Two-story terraced houses with light brown brick facade, dark grey roofline/parapet, rectangular white sash windows on the upper floor, arched openings on the ground floor with white architraves, black metal railings in front. From left to right: white panelled door with arched fanlight, black panelled door with arched fanlight, prominent bushy green tree, arched ground floor window with white frame, blue panelled door with arched fanlight, partially visible white panelled door with arched fanlight.",house. facade. parapet. floor. opening. architrave. railing. front. right. fanlight. door. window. frame,parapet. floor. architrave. front. right. fanlight. frame
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_119/cluster_items_objects_np.csv,Images/London/London_0000126_2014_06_109_51.4862739192907_-0.0923774338918995_O7xgVeLDEltKJSKLfWnhtg.jpg,2,"Two-story brick terraced houses with dark, mossy facades, extensive metal scaffolding covering the front, an arched white doorway on the left, a large white-framed sash window above it, a large bushy green tree in the center foreground, an arched black doorway partially visible behind the tree, an arched blue doorway to the right of the tree, a white-framed sash window above the blue doorway, and an arched white doorway partially obscured by scaffolding on the far right.",house. facade. window. tree. doorway. right,right
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1190/cluster_items_objects_np.csv,Images/London/London_0001024_2019_06_123_51.49110133448943_-0.1693954538940244_t6_5gnFgl7A9N_tlVuJOYA.jpg,0,"Partial brown tree trunk, tall dense green ivy column, black metal fence, light brown brick building with white-framed windows, square red brick pillar with a lighter stone cap, dense green foliage, second square red brick pillar with a lighter stone cap and a small light-colored rectangular sign, black metal fence, more dense green foliage, partial light brown brick building with white-framed windows.",trunk. column. fence. building. window. pillar,column
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1191/cluster_items_objects_np.csv,Images/London/London_0001019_2019_06_151_51.49112883139388_-0.172957508787684_bOpPooJqDtRZgaZHsboJ3A.jpg,1,"Large red brick building with ""THE ROYAL MARSDEN HOSPITAL"" text, ornate stone window frames, and a classical stone entrance, patterned paved area, large ornate white stone pillar, gray paved sidewalk, stone curb, asphalt road with white zig-zag road markings, row of mature green trees, multi-story red brick buildings further down the street, streetlights.",building. entrance. tree. street,entrance
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1191/cluster_items_objects_np.csv,Images/London/London_0001019_2015_10_158_51.49110210421761_-0.1729625927515563_UlnKGxVG403FoPqw0CFTew.jpg,3,"Pavement, white classical-style stone gatepost, black iron fence, large red brick building with scaffolding, ornate stone entrance with an archway and columns on the red brick building, wooden bench, asphalt road with double yellow lines, green trees, long row of red brick buildings with domed roofs.",pavement. gatepost. fence. building. road. tree. row. roof,row
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1192/cluster_items_objects_np.csv,Images/London/London_0001044_2020_11_325_51.49110373626021_-0.155323935979783_GND5ugeA3xmACIvQgCZH3Q.jpg,1,"Left side of a multi-story brick building with white-framed sash windows and visible venetian blinds, a black vertical pipe, a black metal fence on a low brick wall/planter with dense green hedges behind it, grey paved sidewalk with square tiles, brick steps leading to an entrance, a small tree in a planter, dark grey asphalt road with a continuous yellow line along its edge, the road curving gently to the right and descending, rows of multi-story residential buildings with light-colored facades and dark roofs in the distance, a black street lamp further down on the right side of the street.",building. wall. planter. hedge. sidewalk. tile. step. entrance. tree. road. edge. facade. roof. lamp. street,planter. edge
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1192/cluster_items_objects_np.csv,Images/London/London_0001045_2014_09_030_51.49113570804936_-0.1551194850666981_GjbxPdifnFwvQmGVggbGHw.jpg,2,"Grey paved sidewalk with a utility cover, low brick wall with white stone coping, dense green hedges, tall green trees/shrubs, brick pillar with white cap, black wrought iron fence with spear-top finials, palm plants, light brown brick building facade with white-framed sash windows, decorative wrought iron balcony, curved brick wall leading to grey stone steps, black wrought iron handrail, dark front door with a white door surround, additional black wrought iron fencing.",sidewalk. wall. stone. shrub. cap. fence. finial. plant. facade. window. step. handrail. door. surround. fencing,stone. cap. finial. surround
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1192/cluster_items_objects_np.csv,Images/London/London_0001044_2012_08_337_51.49110334516067_-0.1553103851588316_hS_abWJHF14rPIbGNgZZHA.jpg,6,"Brown brick building facade with rectangular white-framed windows, black wrought iron fence atop a low brick wall with white stone coping, green bushes and potted plants behind the fence, grey stone paved sidewalk, building entrance with black door and white stone architrave, stone stairs with black wrought iron railing, curved grey asphalt road with a grey curb and a continuous yellow line painted on its edge, in the distance a row of residential buildings with brick and light-colored facades and various rooflines, rectangular white-framed windows on distant buildings, black fences or railings in front of some distant buildings.",facade. window. fence. wall. stone. bush. plant. sidewalk. entrance. door. architrave. stair. railing. road. curb. edge. row. building. roofline. front,stone. architrave. edge. row. front
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1193/cluster_items_objects_np.csv,Images/London/London_0001140_2017_09_122_51.4911186632868_-0.0881026668012604_hOG0dWOV6wCeuiGkNDz4Cg.jpg,1,"Black metal fence, red brick building with sash windows and pitched roof, sign reading ""Darwin Court"", blue directional sign, tall black lamppost, grey paved sidewalk, asphalt road with white and yellow markings, shorter grey utility pole, large green tree, light yellow brick building with red brick arched window frames, tall narrow arched windows, pitched roof with a cross at the apex, white rectangular sign on wall, multi-story brick building in background.",window. court. sign. lamppost. sidewalk. road. marking. pole. tree. building. frame. roof. cross. apex. wall,court. apex
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1193/cluster_items_objects_np.csv,Images/London/London_0001140_2016_10_117_51.491112203162_-0.0881305047009753_PYLLI4pMnGDTFwfPL3Y3ng.jpg,3,"Red brick building with multiple windows and white signboards on the lower facade, black metal fence, black street pole, concrete sidewalk, red brick patterned sidewalk, grey pole with blue directional signs, asphalt road with white line markings, another multi-story building with a pitched roof and arched windows in the mid-ground, a large red brick building with a rounded corner and a tall, narrow arched window on the far right.",building. fence. pole. sidewalk. sign. road. marking. roof. ground. corner. right,corner. right
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1194/cluster_items_objects_np.csv,Images/London/London_0001110_2015_05_353_51.49111236688012_-0.1090921193288125_PctmSS8t02ZziSEQ0mTDuA.jpg,6,"Grey paving stones on a sidewalk, dark grey curb, dark pole with a white rectangular 'Traffic enforcement cameras' sign and a smaller blue rectangular sign below it, dark green rectangular bin, low reddish-brown brick wall topped with green metal railings, multi-story reddish-brown brick apartment building with white-framed windows and dark balconies, dark asphalt road with white dashed line markings and a white L-shaped turning marking, yellow curb line on the right side further down the road, various trees with green and reddish foliage, large older light-colored brick building with a prominent pitched dark roof and multiple windows in the background, green fences and walls on the right.",stone. sidewalk. curb. wall. building. window. fence. tree. roof,stone
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1194/cluster_items_objects_np.csv,Images/London/London_0001110_2019_03_000_51.49114827642603_-0.1091582990904698_U-JI4FUnT4E1bl0NDcWkzw.jpg,8,"Left brick pillar, low brick wall with dark metal railing, multi-story brick apartment building with white-framed windows and dark metal balconies, paved sidewalk, bare tree, tree with pink blossoms, asphalt road with double yellow lines, white give way triangle road marking, old two-story building with pitched dark roof and light brick facade, black lamppost, yellow triangular warning sign with black figures, paved sidewalk, dense green hedge, bare trees, distant light-colored building with flat roof.",wall. building. window. balcony. sidewalk. tree. roof. facade. lamppost. sign. hedge,wall. hedge
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1197/cluster_items_objects_np.csv,Images/London/London_0001094_2016_05_046_51.49112060720337_-0.1203785494109152_EthEEA-AbX1lBHyBbzfxxQ.jpg,0,"Asphalt road, receding series of brick arches with red doors, a main brick archway containing a small red door with the number ""118"" above it, a large red roller shutter door within the arch, a red-framed window section above the roller shutter, a large brick arch structure extending upwards, a flat brick wall section, two small square metal vents on the wall, a rectangular white sign with a cut-out corner on the far right brick wall, and overhead a brick viaduct structure with some vegetation.",road. door. wall. sign. corner. vegetation,corner
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1197/cluster_items_objects_np.csv,Images/London/London_0001094_2009_07_048_51.4911147290624_-0.1203887934822511_rRe-zaxlesnz8u5AHyIgzQ.jpg,2,"Partially visible red corrugated metal door under a weathered yellow-brown brick arch, followed by a brick pier, then a red pedestrian door with a red ""118"" sign and a yellow warning sign, a large red corrugated metal roller shutter door, an arched red-framed window with multiple panes above the roller door, black electrical conduits following the curve of the weathered yellow-brown brick viaduct arch, diagonal brick pattern on the arch spandrel, a rectangular black metal frame fixed to the brickwork on the right arch, and a vertical black conduit on the far right brick pier.",door. arch. pier. window. pane,pier
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_12/cluster_items_objects_np.csv,Images/London/London_0000121_2012_05_341_51.48578740198923_-0.0957291058612271_zNlzMff1jFd24Nw7ap9Yog.jpg,1,"Tall brick wall with metal supports and green trees, brick utility building with two green doors and a small garden bed, asphalt road with ""DISABLED"" white marking, paved sidewalk, black iron railings, row of multi-story brick terraced houses with white window frames, blue recycling bins, distant modern skyscraper, blue hoarding.",wall. tree. building. door. bed. road. sidewalk. railing. house. bin. skyscraper,bed. skyscraper
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_12/cluster_items_objects_np.csv,Images/London/London_0000121_2018_05_022_51.4857824711314_-0.0957195615348208_2Wt74M8mII2B8cdErTTAGw.jpg,6,"High brick wall with overgrown vegetation, large spiky-leaved plants, brick utility box with dark green louvered door, low brick retaining wall, dense green tree canopy, narrow asphalt road with double yellow lines, paved sidewalk with colored refuse bins, black iron railings, row of multi-story brick terraced houses with white window frames, classic black street lamp.",wall. road. sidewalk. house. railings,railings
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_120/cluster_items_objects_np.csv,Images/London/London_0000107_2012_04_242_51.4862712568369_-0.1058183490654156_uG2XsYbQpPyfCaDMmdg7pA.jpg,1,"Black lamppost with white rectangular parking sign, a green bin, black metal railings in front of a yellowish-brown brick terraced building facade, which features a prominent double white arched entrance with a white door on the left side and a brown wooden door on the right side, both approached by steps, and a large white painted bay window with a dark roof and net curtains to the right, followed by another green bin.",railings. steps. roof,railings
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2017_04_304_51.49113137683496_-0.1556565630652773_4UKHRE9iiJqi_off4Gns-Q.jpg,0,"Partial street sign reading ""CE SW1 WESTMINSTER"" on a brick wall, black ornate metal fence with brick pillars, green hedges, small tree, multi-story building with light-colored facade, balconies, and dark mansard roof with dormer windows, ""Controlled Zone"" street sign with blue circle and red cross, asphalt road with yellow lines, black lamppost, dark brick building with tall narrow windows and recessed front entrance, second ""Controlled Zone"" street sign.",wall. pillar. tree. building. facade. roof. window. circle. cross. road. entrance,pillar. cross
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2016_05_297_51.49112302747552_-0.1556771964754584_SimxVeZimdzLUUTlSSbtrg.jpg,1,"Brick building on left with white street sign reading 'N SW1 WESTMINSTER', ornate black metal fence on a low brick wall, green garden area with trees and bushes, asphalt road with white lane markings, light-colored multi-story residential building with a distinctive gabled roof and dormer windows, black street light pole with a circular 'Controlled Zone' sign and a no-entry-for-buses sign, dark brick building extensively covered in green climbing plants, second black street light pole.",fence. wall. road. building. roof. window. pole. bus. plant,bus
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2019_03_306_51.49113712850578_-0.1556589532747145_0hzKJwhfL2cXyWlNekaNJw.jpg,4,"Partial light-colored building facade, brick boundary wall with light stone coping, black metal fence, garden with green bushes and bare tree, multi-story light-colored apartment building with balconies, tall black lamppost, street sign pole with ""Controlled ZONE"" sign showing time restrictions and ""Traffic enforcement camera"" sign, grey square sidewalk tiles with curved reddish-brown brick pavers, asphalt road with yellow double lines, distant ""Controlled ZONE"" sign, brick building partially covered by dense bare climbing vines, second tall dark pole, brick building entrance with canopy.",wall. stone. fence. building. tile. paver. road. entrance. canopy,stone
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2020_11_306_51.49113215123319_-0.1556891688805235_5Cps0kLc6yFIfdVJeHElzA.jpg,5,"Section of a light-colored building facade, low red brick wall with white stone coping, black wrought iron fence, green shrubs, small deciduous tree, multi-story cream/white apartment building with dark grey mansard roof and dormer windows, grey sidewalk, black street light pole with a dark lamp, ""Controlled ZONE"" sign (blue circle, red diagonal cross, text: Mon-Fri 8.30am-6.30pm, Sat 8.30am-1.30pm) and ""5 mins wait, traffic enforcement cameras"" sign, red circular ""20"" speed limit sign, asphalt street with yellow curb lines, white dashed lines, and a white ""20"" road marking, dark-colored building facade extensively covered in green ivy, windows with white frames, small green canopy over a doorway, white street sign reading ""SARAH PAGE RD"", another red circular ""20"" speed limit sign.",wall. stone. fence. tree. building. roof. window. sidewalk. pole. lamp. ivy. frame. canopy. doorway. sign,stone. frame. canopy
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2008_07_294_51.49112640113717_-0.1556839024552982_OHtDnSo4mpsu_oC6j2eU6g.jpg,6,"Brick building corner, white ""HOLBEIN PLACE SW1"" street sign, white building paneling, black metal fence on low brick wall, dense green bushes, tall tree with green leaves, multi-story residential building with dark grey mansard roof and dormer windows, ""REMBRANDT CLOSE"" sign on residential building, paved road, black utility pole, ""No Buses"" traffic sign, ""Except permit holders and for access"" sign with disabled symbol, ivy-covered building.",corner. sign. fence. wall. building. road. pole,corner
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2018_10_308_51.49111964379837_-0.1556860780217178_m4ZKWEP3jW3_eAJGIXepYg.jpg,7,"A black lamppost, a low brick wall topped with a dark metal fence and a lighter coping stone, a multi-story residential building with a grey mansard roof and multiple dormer windows, a light-colored upper facade with rectangular windows, and a darker brick lower facade, a black pole holding multiple white and blue street signs indicating a ""CONTROLLED ZONE"" with parking restrictions and ""Traffic enforcement cameras"", a white street name sign for ""REMBRANDT PLACE"" affixed to the left building, a paved street with yellow double lines along the curb and white dashed pedestrian crossing markings, a dark brick building heavily covered in green and reddish ivy/vegetation featuring multiple windows and a front door with a small white canopy, another black pole with a blue circular ""CONTROLLED ZONE"" sign, and a white street name sign for ""GRAHAM TERRACE SW1"" affixed to a pole on the right side of the street.",wall. fence. stone. building. roof. window. facade. sign. vegetation. door. canopy. pole. sw1. side,stone. canopy. sw1. side
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2017_09_310_51.49114502139648_-0.155653868716534_ssOrDyduOeean1h4SDDMWg.jpg,8,"Light-colored building with horizontal banding on the left, black wrought iron fence with pointed finials, light-colored fence base, brick pillar with light cap, black wrought iron fence on a brick wall with light stone coping, green shrubs behind the fence and wall, background light-colored multi-story building with balconies, grey sidewalk with large square pavers transitioning to smaller lighter pavers, asphalt street, two ""Controlled Zone"" traffic signs on a pole, building covered in heavy green foliage, black lamppost on the far right.",wall. stone. paver. street. pole. building. foliage. lamppost. right,stone. right
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2015_05_290_51.49112943437704_-0.1556929683627305_VoiHCmEaXLm03027dXeu0w.jpg,9,"A brick building wall with a decorative black metal balcony railing, a white street sign reading ""HOLBEIN PLACE SW1 CITY OF WESTMINSTER"", a black metal fence on a low brick wall with green bushes behind it, a multi-story residential building with a light-colored facade, balconies, numerous windows, and a dark grey mansard roof with multiple dormer windows, a pole with multiple road signs including a ""Controlled Zone"" sign and a blue circular no stopping/waiting sign, green trees and bushes, a paved street, and partially visible buildings and additional road signs on the far right.",railing. fence. wall. bush. tree. building. facade. pole. street. right,right
/mnt/d/dan/git_projects/text2vpr/validation_embddings/outputs_manual_thr/London/cases/both_dense/cluster_1200/cluster_items_objects_np.csv,Images/London/London_0001043_2017_12_311_51.49114019775104_-0.1556878552537297_Z44bAJyTfo3XMxw2aj1laA.jpg,11,"Brick building corner with ""HOLBEIN PLACE SW1 CITY OF WESTMINSTER"" street sign, white architectural trim, low brick wall with light-colored coping, black metal fence, green garden area, multi-story residential building with light facade, white balconies, and mansard roof with dormer windows, black lamppost with blue circular ""Controlled Zone"" and ""20mph Zone"" signs, brick building heavily covered in green ivy, tall narrow windows, light-colored entrance door, asphalt road with yellow curb line and white dashed lines, second black lamppost with ""GRAHAM TERRACE SW1"" street sign, green bushes, brick building.",building. facade. roof. window. lamppost. zone. ivy. door. road. bush,zone
